overall,team_x,name,position_x,school,id,position_y,team_y
56,New England Patriots,Duke Dawson,CB,Florida,18615.0,[u'CB'],NE
57,Oakland Raiders,P.J. Hall,DT,Sam Houston State,18616.0,[u'DT'],Oak
58,Atlanta Falcons,Isaiah Oliver,CB,Colorado,18617.0,[u'CB'],Atl
59,Washington Redskins,Derrius Guice,RB,LSU,18618.0,[u'RB'],Wsh
60,Pittsburgh Steelers,James Washington,WR,Oklahoma State,18619.0,[u'WR'],Pit
61,Jacksonville Jaguars,D.J. Chark,WR,LSU,18620.0,[u'WR'],Jax
63,Tampa Bay Buccaneers,Carlton Davis,CB,Auburn,18622.0,[u'CB'],TB
64,Indianapolis Colts,Tyquan Lewis,DE,Ohio State,18623.0,"[u'DE', u'EDR']",Ind
66,New York Giants,Lorenzo Carter,LB,Georgia,18625.0,"[u'LB', u'EDR']",NYG
67,Cleveland Browns,Chad Thomas,DE,Miami (FL),18626.0,"[u'DE', u'EDR']",Cle
68,Houston Texans,Justin Reid,S,Stanford,18627.0,[u'S'],Hou
69,New York Giants,B.J. Hill,DT,NC State,18628.0,[u'DT'],NYG
70,San Francisco 49ers,Fred Warner,LB,BYU,18629.0,[u'LB'],SF
71,Denver Broncos,Royce Freeman,RB,Oregon,18630.0,[u'RB'],Den
72,New York Jets,Nathan Shepherd,DT,Fort Hays State,18631.0,[u'DT'],NYJ
73,Miami Dolphins,Jerome Baker,LB,Ohio State,18632.0,[u'LB'],Mia
75,Kansas City Chiefs,Derrick Nnadi,DT,Florida State,18634.0,[u'DT'],KC
76,Pittsburgh Steelers,Mason Rudolph,QB,Oklahoma State,18635.0,[u'QB'],Pit
77,Cincinnati Bengals,Sam Hubbard,DE,Ohio State,18636.0,"[u'DE', u'EDR']",Cin
78,Cincinnati Bengals,Malik Jefferson,LB,Texas,18637.0,[u'LB'],Cin
79,Seattle Seahawks,Rasheem Green,DE,USC,18638.0,"[u'DE', u'EDR']",Sea
81,Dallas Cowboys,Michael Gallup,WR,Colorado State,18640.0,[u'WR'],Dal
82,Detroit Lions,Tracy Walker,S,Louisiana,18641.0,[u'S'],Det
