id,name,position,team
15878,Terrance Williams,[u'WR'],Dal
12747,Lardarius Webb,[u'S'],Bal
16804,John Brown,[u'WR'],Ari
14086,Richard Sherman,[u'CB'],Sea
11347,Dwight Lowery,[u'S'],LAC
11351,Quintin Demps,[u'S'],Chi
13681,Tramaine Brock,[u'CB'],SF
15085,George Iloka,[u'S'],Cin
15112,Korey Toomer,[u'LB'],LAC
16751,Trent Murphy,"[u'DE', u'EDR']",Wsh
17641,Ramik Wilson,[u'LB'],KC
12597,Brandon Tate,[u'WR'],Buf
12477,Brian Hoyer,[u'QB'],SF
13239,Brandon Graham,"[u'DE', u'EDR']",Phi
15866,Jamar Taylor,[u'CB'],Cle
17842,Sean Davis,[u'S'],Pit
16766,C.J. Fiedorowicz,[u'TE'],Hou
14908,Michael Floyd,[u'WR'],Min
14193,Jacquizz Rodgers,[u'RB'],TB
12613,Jairus Byrd,[u'S'],NO
14145,Charles Clay,[u'TE'],Buf
15017,Keenan Robinson,[u'LB'],NYG
17741,Zach Zenner,[u'RB'],Det
14901,Dwayne Allen,[u'TE'],NE
4468,Terrell Suggs,"[u'LB', u'EDR']",Bal
15971,Rex Burkhead,[u'RB'],NE
12716,Glover Quin,[u'S'],Det
14942,Stephon Gilmore,[u'CB'],NE
15001,Keith Tandy,[u'S'],TB
17644,Denzel Perryman,[u'LB'],LAC
18097,Robby Anderson,[u'WR'],NYJ
16707,Dee Ford,"[u'LB', u'EDR']",KC
15503,Deonte Thompson,[u'WR'],Chi
16717,Jimmie Ward,[u'S'],SF
17796,Joey Bosa,"[u'DE', u'EDR']",LAC
17872,Cody Kessler,[u'QB'],Cle
4433,James Harrison,"[u'LB', u'EDR']",Pit
17226,Ross Cockrell,[u'CB'],Pit
15852,T.J. McDonald,[u'S'],Mia
15862,Kawann Short,[u'DT'],Car
15863,Darius Slay,[u'CB'],Det
16734,Jadeveon Clowney,"[u'DE', u'EDR']",Hou
9620,D'Qwell Jackson,[u'LB'],Ind
14802,Sterling Moore,[u'CB'],NO
