end,id,name,owner,position,salary,start
2016,5209,Tony Romo,Syed/Terence,QB,75,2016
2018,14032,Torrey Smith,Koci/Mueller,WR,42,2016
2016,15457,Travaris Cadet,,RB,,FA
2018,15062,Travis Benjamin,John/Zach,WR,10,2016
2018,15847,Travis Kelce,Mitch,TE,30,2016
2016,17550,Tre McBride,,WR,,FA
2016,16751,Trent Murphy,,DL,,FA
2016,18008,Trevone Boykin,,QB,,FA
2016,17928,Trevor Davis,Quinn,WR,1,FA
2018,17455,Trevor Siemian,Keyon,QB,1,2016
2016,18086,Troymaine Pope,Quinn,RB,1,FA
2016,14989,Trumaine Johnson,,DB,,FA
2016,17611,Ty Montgomery,Syed/Terence,RB/WR,4,FA
2018,17840,Tyler Boyd,Mitch,WR,17,2016
2016,15788,Tyler Eifert,Daniel,TE,25,2016
2018,17895,Tyler Ervin,Daniel,RB,7,2016
2016,17886,Tyler Higbee,,TE,,FA
2017,17619,Tyler Lockett,Quinn,WR,5,2015
2016,15851,Tyrann Mathieu,,DB,,FA
2016,17929,Tyreek Hill,Syed/Terence,WR,1,FA
2016,17762,Tyrell Williams,Syed/Terence,WR,11,FA
2017,14163,Tyrod Taylor,Brett/Luke,QB,185,2016
2016,15853,Vance McDonald,James,TE,1,FA
2016,9592,Vernon Davis,John/Zach,TE,1,FA
2016,17468,Vic Beasley Jr.,Schex/Jeff,DL,7,FA
2016,13553,Victor Cruz,,WR,,FA
2016,15934,Vince Williams,,LB,,FA
2016,8475,Vincent Jackson,Patrick,WR,1,FA
2017,14085,Virgil Green,Brett/Luke,TE,1,2016
2016,13976,Von Miller,Syed/Terence,LB,3,2014
2018,15246,Vontaze Burfict,Patrick,LB,10,2016
2018,17921,Wendell Smallwood,Mitch,RB,7,2016
2016,14936,Whitney Mercilus,,LB,,FA
2016,18104,Wil Lutz,Keyon,K,1,FA
2016,17264,Will Compton,,LB,,FA
2018,17809,Will Fuller V,Patrick,WR,9,2016
2018,17184,Willie Snead,Keyon,WR,21,2016
2016,17852,Yannick Ngakoue,,DL,,FA
2016,14973,Zach Brown,John/Zach,LB,3,FA
2018,15835,Zach Ertz,Patrick,TE,18,2016
2016,16814,Zach Mettenberger,,QB,,FA
2018,12699,Zach Miller,Schex/Jeff,TE,1,2016
2016,17741,Zach Zenner,,RB,,FA
2016,17242,Zachary Orr,Patrick,LB,3,FA
